File Paths,States,Polling agency,Date published,NDA,I.N.D.I.A.,Others,YSRCP,AIUDF,BJD,SAD,SDF,AIADMK,BRS,BSP,TDP,ZPM,TMP
Andhra Pradesh (25).csv,Madhya Pradesh,India Today-CVoter,2/1/2024,0,1,,7,,,,,,,,17,,
Andhra Pradesh (25).csv,Madhya Pradesh,Times Now-ETG,12/1/2023,0,0,,25,,,,,,,,1,,
Andhra Pradesh (25).csv,Madhya Pradesh,India TV-CNX,10/1/2023,0,0,,23,,,,,,,,2,,
Andhra Pradesh (25).csv,Madhya Pradesh,Times Now-ETG,9/1/2023,0,0,,25,,,,,,,,1,,
Andhra Pradesh (25).csv,Madhya Pradesh,Times Now-ETG,8/1/2023,0,0,,25,,,,,,,,1,,
Andaman and Nicobar Islands (01).csv,Andaman and Nicobar Islands,India Today-CVoter,2/1/2024,0,1,0,,,,,,,,,,,
Andaman and Nicobar Islands (01).csv,Andaman and Nicobar Islands,ABP-CVoter,12/1/2023,1,0,0,,,,,,,,,,,
Andaman and Nicobar Islands (01).csv,Andaman and Nicobar Islands,Times Now-ETG,12/1/2023,1,0,0,,,,,,,,,,,
Andaman and Nicobar Islands (01).csv,Andaman and Nicobar Islands,India TV-CNX,10/1/2023,1,0,0,,,,,,,,,,,
Andaman and Nicobar Islands (01).csv,Andaman and Nicobar Islands,Times Now-ETG,9/1/2023,1,0,0,,,,,,,,,,,
Andaman and Nicobar Islands (01).csv,Andaman and Nicobar Islands,Times Now-ETG,8/1/2023,1,0,0,,,,,,,,,,,
Arunachal Pradesh (02).csv,Himachal Pradesh,India Today-CVoter,2/1/2024,1,1,0,,,,,,,,,,,
Arunachal Pradesh (02).csv,Himachal Pradesh,Times Now-ETG,12/1/2023,2,0,0,,,,,,,,,,,
Arunachal Pradesh (02).csv,Himachal Pradesh,India TV-CNX,10/1/2023,2,0,0,,,,,,,,,,,
Arunachal Pradesh (02).csv,Himachal Pradesh,Times Now-ETG,9/1/2023,2,0,0,,,,,,,,,,,
Arunachal Pradesh (02).csv,Himachal Pradesh,Times Now-ETG,8/1/2023,2,0,0,,,,,,,,,,,
Assam (14).csv,Assam,India Today-CVoter,2/1/2024,12,2,,,0,,,,,,,,,
Assam (14).csv,Assam,ABP-CVoter,12/1/2023,,,,,,,,,,,,,,
Assam (14).csv,Assam,Times Now-ETG,12/1/2023,10,4,,,1,,,,,,,,,
Assam (14).csv,Assam,India TV-CNX,10/1/2023,12,1,,,1,,,,,,,,,
Assam (14).csv,Assam,Times Now-ETG,9/1/2023,8,5,,,1,,,,,,,,,
Assam (14).csv,Assam,Times Now-ETG,8/1/2023,10,4,,,1,,,,,,,,,
Bihar (40).csv,Bihar,India Today-CVoter,2/1/2024,32,8,0,,,,,,,,,,,
Bihar (40).csv,Bihar,ABP-CVoter,12/1/2023,17,22,1,,,,,,,,,,,
Bihar (40).csv,Bihar,Times Now-ETG,12/1/2023,20,20,0,,,,,,,,,,,
Bihar (40).csv,Bihar,India TV-CNX,10/1/2023,24,16,0,,,,,,,,,,,
Bihar (40).csv,Bihar,Times Now-ETG,9/1/2023,19,21,0,,,,,,,,,,,
Bihar (40).csv,Bihar,Times Now-ETG,8/1/2023,23,17,0,,,,,,,,,,,
Chandigarh (01).csv,Chandigarh,ABP-CVoter,12/1/2023,,,,,,,,,,,,,,
Chandigarh (01).csv,Chandigarh,Times Now-ETG,12/1/2023,1,0,0,,,,,,,,,,,
Chandigarh (01).csv,Chandigarh,India TV-CNX,10/1/2023,1,0,0,,,,,,,,,,,
Chandigarh (01).csv,Chandigarh,Times Now-ETG,9/1/2023,1,0,0,,,,,,,,,,,
Chandigarh (01).csv,Chandigarh,Times Now-ETG,8/1/2023,1,0,0,,,,,,,,,,,
Chhattisgarh (11).csv,Chandigarh,ABP News-CVoter,12/1/2023,10,1,0,,,,,,,,,,,
Chhattisgarh (11).csv,Chandigarh,Times Now-ETG,12/1/2023,11,1,0,,,,,,,,,,,
Chhattisgarh (11).csv,Chandigarh,India TV-CNX,10/1/2023,7,4,0,,,,,,,,,,,
Chhattisgarh (11).csv,Chandigarh,Times Now-ETG,9/1/2023,8,3,0,,,,,,,,,,,
Chhattisgarh (11).csv,Chandigarh,Times Now-ETG,8/1/2023,7,4,0,,,,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu (02).csv,Daman and Diu,ABP-CVoter,12/1/2023,,,,,,,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu (02).csv,Daman and Diu,Times Now-ETG,12/1/2023,2,0,0,,,,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu (02).csv,Daman and Diu,India TV-CNX,10/1/2023,2,0,0,,,,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu (02).csv,Daman and Diu,Times Now-ETG,9/1/2023,2,1,0,,,,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu (02).csv,Daman and Diu,Times Now-ETG,8/1/2023,2,1,0,,,,,,,,,,,
Goa (02).csv,Goa,Times Now-ETG,12/1/2023,2,1,0,,,,,,,,,,,
Goa (02).csv,Goa,India TV-CNX,10/1/2023,2,0,0,,,,,,,,,,,
Goa (02).csv,Goa,Times Now-ETG,9/1/2023,2,1,0,,,,,,,,,,,
Goa (02).csv,Goa,Times Now-ETG,8/1/2023,2,1,0,,,,,,,,,,,
Gujarat (26).csv,Gujarat,India Today-CVoter,2/1/2024,26,0,0,,,,,,,,,,,
Gujarat (26).csv,Gujarat,ABP-CVoter,12/1/2023,26,0,0,,,,,,,,,,,
Gujarat (26).csv,Gujarat,Times Now-ETG,12/1/2023,26,0,0,,,,,,,,,,,
Gujarat (26).csv,Gujarat,India TV-CNX,10/1/2023,26,0,0,,,,,,,,,,,
Gujarat (26).csv,Gujarat,Times Now-ETG,9/1/2023,26,0,0,,,,,,,,,,,
