Polling agency,Date published,States,Margin of Error,NDA,I.N.D.I.A.,Others,Lead,TMP,ZPM,TMC,I.N.D.I.A,AIUDF,AIADMK,SAD,YSRCP,TDP,BSP,BJD,BRS,SDF
India Today-CVoter,2024-02-01,Jharkhand,±3-5%,12.0,2.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Jharkhand,±3%,11.0,3.0,0.0,NDA,,,,,,,,,,,,,
India TV-CNX,2023-10-01,Jharkhand,±3%,13.0,1.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Jharkhand,±3%,10.0,4.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Jharkhand,±3%,11.0,3.0,0.0,NDA,,,,,,,,,,,,,
India Today-CVoter,2024-02-01,Tripura,±3-5%,1.0,1.0,0.0,TIE,0.0,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Tripura,±3%,2.0,0.0,0.0,NDA,0.0,,,,,,,,,,,,
India TV-CNX,2023-10-01,Tripura,±3%,2.0,0.0,0.0,NDA,0.0,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Tripura,±3%,2.0,0.0,0.0,NDA,0.0,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Tripura,±3%,2.0,1.0,0.0,NDA,0.0,,,,,,,,,,,,
India Today-CVoter,2024-02-01,Manipur,±3-5%,0.0,2.0,0.0,I.N.D.I.A.,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Manipur,±3%,2.0,1.0,0.0,NDA,,,,,,,,,,,,,
India TV-CNX,2023-10-01,Manipur,±3%,1.0,1.0,0.0,TIE,,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Manipur,±3%,2.0,1.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Manipur,±3%,2.0,1.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Dadra and Nagar Haveli and Daman and Diu,±3%,2.0,0.0,0.0,NDA,,,,,,,,,,,,,
India TV-CNX,2023-10-01,Dadra and Nagar Haveli and Daman and Diu,±3%,2.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Dadra and Nagar Haveli and Daman and Diu,±3%,2.0,1.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Dadra and Nagar Haveli and Daman and Diu,±3%,2.0,1.0,0.0,NDA,,,,,,,,,,,,,
India Today-CVoter,2024-02-01,Andaman and Nicobar Islands,±3-5%,0.0,1.0,0.0,I.N.D.I.A.,,,,,,,,,,,,,
ABP-CVoter,2023-12-01,Andaman and Nicobar Islands,±3-5%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Andaman and Nicobar Islands,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
India TV-CNX,2023-10-01,Andaman and Nicobar Islands,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Andaman and Nicobar Islands,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Andaman and Nicobar Islands,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
India Today-CVoter,2024-02-01,Rajasthan,±3-5%,25.0,0.0,0.0,NDA,,,,,,,,,,,,,
ABP News-CVoter,2023-12-01,Rajasthan,±3-5%,24.0,1.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Rajasthan,±3%,25.0,1.0,0.0,NDA,,,,,,,,,,,,,
India TV-CNX,2023-10-01,Rajasthan,±3%,23.0,2.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Rajasthan,±3%,23.0,2.0,1.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Rajasthan,±3%,21.0,3.0,1.0,NDA,,,,,,,,,,,,,
India Today-CVoter,2024-02-01,Ladakh,±3-5%,0.0,1.0,0.0,I.N.D.I.A.,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Ladakh,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
India TV-CNX,2023-10-01,Ladakh,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Ladakh,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Ladakh,±3%,1.0,0.0,0.0,NDA,,,,,,,,,,,,,
India Today-CVoter,2024-02-01,Gujarat,±3-5%,26.0,0.0,0.0,NDA,,,,,,,,,,,,,
ABP-CVoter,2023-12-01,Gujarat,±3-5%,26.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Gujarat,±3%,26.0,0.0,0.0,NDA,,,,,,,,,,,,,
India TV-CNX,2023-10-01,Gujarat,±3%,26.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-09-01,Gujarat,±3%,26.0,0.0,0.0,NDA,,,,,,,,,,,,,
Times Now-ETG,2023-08-01,Gujarat,±3%,26.0,0.0,0.0,NDA,,,,,,,,,,,,,
India Today-CVoter,2024-02-01,Kerala,±3-5%,0.0,20.0,0.0,I.N.D.I.A.,,,,,,,,,,,,,
Times Now-ETG,2023-12-01,Kerala,±3%,1.0,19.0,0.0,I.N.D.I.A.,,,,,,,,,,,,,
