Seat #,Party
1,Others
2,Others
3,Others
4,Others
5,Others
6,Others
7,Others
8,Others
9,Others
10,Others
11,Others
12,Others
13,Others
14,Others
15,Others
16,Others
17,Others
18,Others
19,Others
20,Others
21,Others
22,Others
23,Others
24,Others
25,Others
26,Others
27,Others
28,Others
29,Others
30,Others
31,Others
32,Others
33,Others
34,Others
35,Others
36,Others
37,Others
38,Others
39,Others
40,Others
41,Others
42,Others
43,Others
44,Others
45,Others
46,Others
47,Others
48,Others
49,Others
50,Others
51,Others
52,Others
53,Others
54,Others
55,Others
56,Others
57,Others
58,Others
59,I.N.D.I.A.
60,I.N.D.I.A.
61,I.N.D.I.A.
62,I.N.D.I.A.
63,I.N.D.I.A.
64,I.N.D.I.A.
65,I.N.D.I.A.
66,I.N.D.I.A.
67,I.N.D.I.A.
68,I.N.D.I.A.
69,I.N.D.I.A.
70,I.N.D.I.A.
71,I.N.D.I.A.
72,I.N.D.I.A.
73,I.N.D.I.A.
74,I.N.D.I.A.
75,I.N.D.I.A.
76,I.N.D.I.A.
77,I.N.D.I.A.
78,I.N.D.I.A.
79,I.N.D.I.A.
80,I.N.D.I.A.
81,I.N.D.I.A.
82,I.N.D.I.A.
83,I.N.D.I.A.
84,I.N.D.I.A.
85,I.N.D.I.A.
86,I.N.D.I.A.
87,I.N.D.I.A.
88,I.N.D.I.A.
89,I.N.D.I.A.
90,I.N.D.I.A.
91,I.N.D.I.A.
92,I.N.D.I.A.
93,I.N.D.I.A.
94,I.N.D.I.A.
95,I.N.D.I.A.
96,I.N.D.I.A.
97,I.N.D.I.A.
98,I.N.D.I.A.
99,I.N.D.I.A.
100,I.N.D.I.A.
101,I.N.D.I.A.
102,I.N.D.I.A.
103,I.N.D.I.A.
104,I.N.D.I.A.
105,I.N.D.I.A.
106,I.N.D.I.A.
107,I.N.D.I.A.
108,I.N.D.I.A.
109,I.N.D.I.A.
110,I.N.D.I.A.
111,I.N.D.I.A.
112,I.N.D.I.A.
113,I.N.D.I.A.
114,I.N.D.I.A.
115,I.N.D.I.A.
116,I.N.D.I.A.
117,I.N.D.I.A.
118,I.N.D.I.A.
119,I.N.D.I.A.
120,I.N.D.I.A.
121,I.N.D.I.A.
122,I.N.D.I.A.
123,I.N.D.I.A.
124,I.N.D.I.A.
125,I.N.D.I.A.
126,I.N.D.I.A.
127,I.N.D.I.A.
128,I.N.D.I.A.
129,I.N.D.I.A.
130,I.N.D.I.A.
131,I.N.D.I.A.
132,I.N.D.I.A.
133,I.N.D.I.A.
134,I.N.D.I.A.
135,I.N.D.I.A.
136,I.N.D.I.A.
137,I.N.D.I.A.
138,I.N.D.I.A.
139,I.N.D.I.A.
140,I.N.D.I.A.
141,I.N.D.I.A.
142,I.N.D.I.A.
143,I.N.D.I.A.
144,I.N.D.I.A.
145,I.N.D.I.A.
146,I.N.D.I.A.
147,I.N.D.I.A.
148,I.N.D.I.A.
149,I.N.D.I.A.
150,I.N.D.I.A.
151,I.N.D.I.A.
152,I.N.D.I.A.
153,I.N.D.I.A.
154,I.N.D.I.A.
155,I.N.D.I.A.
156,I.N.D.I.A.
157,I.N.D.I.A.
158,I.N.D.I.A.
159,I.N.D.I.A.
160,I.N.D.I.A.
161,I.N.D.I.A.
162,I.N.D.I.A.
163,I.N.D.I.A.
164,I.N.D.I.A.
165,I.N.D.I.A.
166,I.N.D.I.A.
167,I.N.D.I.A.
168,I.N.D.I.A.
169,I.N.D.I.A.
170,I.N.D.I.A.
171,I.N.D.I.A.
172,I.N.D.I.A.
173,I.N.D.I.A.
174,I.N.D.I.A.
175,I.N.D.I.A.
176,I.N.D.I.A.
177,I.N.D.I.A.
178,I.N.D.I.A.
179,I.N.D.I.A.
180,I.N.D.I.A.
181,I.N.D.I.A.
182,I.N.D.I.A.
183,I.N.D.I.A.
184,I.N.D.I.A.
185,I.N.D.I.A.
186,I.N.D.I.A.
187,I.N.D.I.A.
188,I.N.D.I.A.
189,I.N.D.I.A.
190,I.N.D.I.A.
191,I.N.D.I.A.
192,I.N.D.I.A.
193,I.N.D.I.A.
194,I.N.D.I.A.
195,I.N.D.I.A.
196,I.N.D.I.A.
197,I.N.D.I.A.
