States,File Paths,NDA,I.N.D.I.A.,Others,YSRCP,AIUDF,BJD,SAD,SDF,AIADMK,BRS,BSP,TDP,ZPM,TMP,Leading Party
Andaman and Nicobar Islands,0.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Assam,0.0,5160.0,1872.0,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Bihar,0.0,12385.0,10913.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Chandigarh,0.0,2283.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Daman and Diu,0.0,548.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Goa,0.0,548.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Gujarat,0.0,15184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Haryana,0.0,3992.0,1228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Himachal Pradesh,0.0,3009.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Jammu and Kashmir,0.0,1044.0,1596.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I.N.D.I.A.
Jharkhand,0.0,5835.0,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Karnataka,0.0,11498.0,4854.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Kerala,0.0,399.0,10041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I.N.D.I.A.
Ladakh,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Lakshadweep,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I.N.D.I.A.
Madhya Pradesh,0.0,15187.0,1811.0,0.0,12804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,0.0,0.0,NDA
Maharashtra,0.0,16286.0,11132.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Manipur,0.0,921.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Meghalaya,0.0,1044.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Mizoram,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Nagaland,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Odisha,0.0,1888.0,213.0,0.0,0.0,0.0,3653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BJD
Puducherry,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Punjab,0.0,983.0,5963.0,399.0,0.0,0.0,0.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I.N.D.I.A.
Rajasthan,0.0,13250.0,1228.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Sikkim,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Tamil Nadu,0.0,522.0,16766.0,522.0,0.0,0.0,0.0,0.0,0.0,2610.0,0.0,0.0,0.0,0.0,0.0,I.N.D.I.A.
Telangana,0.0,2121.0,2772.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,4973.0,0.0,0.0,0.0,0.0,BRS
Tripura,0.0,1044.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
Uttar Pradesh,0.0,42295.0,3933.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,NDA
Uttarakhand,0.0,2610.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NDA
West Bengal,0.0,9528.0,15184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I.N.D.I.A.
