State Name,Constituency Name,Candidate,Party,Votes,Valid_Votes,Margin_Percentage,Coalition,Vote Lean
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,INC,95308,207296,0.68,I.N.D.I.A.,Tossup
Andhra Pradesh,ARUKU,GODDETI. MADHAVI,YSRCP,562190,1074538,20.85,Others,Leaning Others
Andhra Pradesh,SRIKAKULAM,KINJARAPU RAM MOHAN NAIDU,TDP,534544,1157329,0.57,Others,Tossup
Andhra Pradesh,VIZIANAGARAM,BELLANA CHANDRA SEKHAR,YSRCP,578418,1217890,3.94,Others,Leaning Others
Andhra Pradesh,VISAKHAPATNAM,M V V SATYANARAYANA,YSRCP,436906,1239754,0.36,Others,Tossup
Andhra Pradesh,ANAKAPALLI,DR.BEESETTI VENKATA SATYAVATHI,YSRCP,586226,1238491,7.2,Others,Leaning Others
Andhra Pradesh,KAKINADA,VANGA GEETHAVISWANATH,YSRCP,537630,1234655,2.08,Others,Leaning Others
Andhra Pradesh,AMALAPURAM,CHINTA ANURADHA,YSRCP,485958,1232895,3.23,Others,Leaning Others
Andhra Pradesh,RAJAHMUNDRY,MARGANI BHARAT,YSRCP,582024,1250427,9.73,Others,Leaning Others
Andhra Pradesh,NARSAPURAM,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,449234,1177738,2.77,Others,Leaning Others
Andhra Pradesh,ELURU,KOTAGIRI SRIDHAR,YSRCP,676809,1327923,12.5,Others,Leaning Others
Andhra Pradesh,MACHILIPATNAM,BALASHOWRY VALLABHANENI,YSRCP,572850,1244570,4.84,Others,Leaning Others
Andhra Pradesh,VIJAYAWADA,KESINENI SRINIVAS (NANI),TDP,575498,1277711,0.68,Others,Tossup
Andhra Pradesh,GUNTUR,JAYADEV GALLA,TDP,587918,1351474,0.31,Others,Tossup
Andhra Pradesh,NARASARAOPET,LAVU SRI KRISHNA DEVARAYALU,YSRCP,745557,1437420,10.71,Others,Leaning Others
Andhra Pradesh,BAPATLA,NANDIGAM SURESH,YSRCP,598257,1266492,1.27,Others,Tossup
Andhra Pradesh,ONGOLE,MAGUNTA SREENIVASULU REDDY,YSRCP,739202,1342368,16.01,Others,Leaning Others
Andhra Pradesh,NANDYAL,POCHA . BRAHMANANDA REDDY,YSRCP,720888,1299093,19.25,Others,Leaning Others
Andhra Pradesh,KURNOOL,AYUSHMAN DOCTOR SANJEEV KUMAR,YSRCP,605462,1188327,12.54,Others,Leaning Others
Andhra Pradesh,ANANTAPUR,TALARI RANGAIAH,YSRCP,695208,1342306,10.54,Others,Leaning Others
Andhra Pradesh,HINDUPUR,KURUVA GORANTLA MADHAV,YSRCP,706602,1338514,10.52,Others,Leaning Others
Andhra Pradesh,KADAPA,Y.S.AVINASH REDDY,YSRCP,783499,1228242,31,Others,Solidly Others
Andhra Pradesh,NELLORE,ADALA PRABHAKARA REDDY,YSRCP,683830,1287036,11.54,Others,Leaning Others
Andhra Pradesh,TIRUPATI,BALLI DURGA PRASAD RAO,YSRCP,722877,1313515,17.39,Others,Leaning Others
Andhra Pradesh,RAJAMPET,P.V.MIDHUN REDDY,YSRCP,702211,1224354,21.91,Others,Leaning Others
Andhra Pradesh,CHITTOOR,N. REDDEPPA,YSRCP,686792,1319472,10.4,Others,Leaning Others
Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,BJP,225796,358310,48.8,NDA,Solidly NDA
Arunachal Pradesh,ARUNACHAL EAST,TAPIR GAO,BJP,153883,293781,23.81,NDA,Leaning NDA
Assam,KARIMGANJ,KRIPANATH MALLAH,BJP,473046,1060072,3.62,NDA,Leaning NDA
Assam,SILCHAR,RAJDEEP ROY,BJP,499414,949696,8.59,NDA,Leaning NDA
Assam,AUTONOMOUS DISTRICT,HOREN SING BEY,BJP,381316,617735,38.79,NDA,Solidly NDA
Assam,DHUBRI,BADRUDDIN AJMAL,AIUDF,718764,1685005,13.43,Others,Leaning Others
Assam,KOKRAJHAR,NABA KUMAR SARANIA,IND,484560,1479485,2.55,Others,Leaning Others
Assam,BARPETA,ABDUL KHALEQUE,INC,645173,1458549,9.62,I.N.D.I.A.,Leaning I.N.D.I.A.
Assam,GAUHATI,QUEEN OJA,BJP,1008936,1763757,19.59,NDA,Leaning NDA
Assam,MANGALDOI,DILIP SAIKIA,BJP,735469,1506107,9.2,NDA,Leaning NDA
Assam,TEZPUR,PALLAB LOCHAN DAS,BJP,684166,1190196,20.4,NDA,Leaning NDA
Assam,NOWGONG,PRADYUT BORDOLOI,INC,739724,1493475,1.12,I.N.D.I.A.,Tossup
Assam,KALIABOR,GAURAV GOGOI,INC,786092,1424687,14.74,I.N.D.I.A.,Leaning I.N.D.I.A.
Assam,JORHAT,TOPON KUMAR GOGOI,BJP,543288,1057965,7.81,NDA,Leaning NDA
Assam,DIBRUGARH,RAMESWAR TELI,BJP,659583,1015748,35.89,NDA,Solidly NDA
Assam,LAKHIMPUR,PRADAN BARUAH,BJP,776406,1283589,27.31,NDA,Solidly NDA
Bihar,VALMIKI NAGAR,BAIDYANATH PRASAD MAHTO,JD(U),602660,1032090,34.36,Others,Solidly Others
Bihar,PASCHIM CHAMPARAN,DR. SANJAY JAISWAL,BJP,603706,1012936,29.02,NDA,Solidly NDA
Bihar,PURVI CHAMPARAN,RADHA MOHAN SINGH,BJP,577787,999400,29.38,NDA,Solidly NDA
Bihar,SHEOHAR,RAMA DEVI,BJP,608678,1004559,33.88,NDA,Solidly NDA
Bihar,SITAMARHI,SUNIL KUMAR PINTU,JD(U),567745,1038849,24.12,Others,Leaning Others
Bihar,MADHUBANI,ASHOK KUMAR YADAV,BJP,595843,963708,47.21,NDA,Solidly NDA
Bihar,JHANJHARPUR,RAMPRIT MANDAL,JD(U),602391,1060562,30.45,Others,Solidly Others
Bihar,SUPAUL,DILESHWAR KAMAIT,JD(U),597377,1110805,24.02,Others,Leaning Others
Bihar,ARARIA,PRADEEP KUMAR SINGH,BJP,618434,1169630,11.73,NDA,Leaning NDA
Bihar,KISHANGANJ,DR. MOHAMMAD JAWED,INC,367017,1101603,3.13,I.N.D.I.A.,Leaning I.N.D.I.A.
Bihar,KATIHAR,DULAL CHANDRA GOSWAMI,JD(U),559423,1117734,5.12,Others,Leaning Others
Bihar,PURNIA,SANTOSH KUMAR,JD(U),632924,1153940,22.83,Others,Leaning Others
Bihar,MADHEPURA,DINESH CHANDRA YADAV,JD(U),624334,1147274,26.28,Others,Solidly Others
Bihar,DARBHANGA,GOPAL JEE THAKUR,BJP,586668,964996,27.77,NDA,Solidly NDA
